n_distributor_id,dist_name,scan_date,time_slot,challan_count,total_line_items,item_value,quantity
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 18:00:00,15,49,18510.05,267.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 13:00:00,36,158,53786.4,812.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 14:00:00,14,116,35276.17,537.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 16:00:00,15,57,15784.44,219.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 19:00:00,13,177,39774.75,875.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 15:00:00,22,155,54683.76,755.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 14:00:00,22,152,52807.71,651.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 19:00:00,18,67,29135.38,270.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 11:00:00,30,169,31874.06,442.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 18:00:00,18,93,25042.05,421.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 17:00:00,21,116,31372.31,463.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 16:00:00,14,58,17054.76,249.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 13:00:00,30,197,51383.76,730.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 21:00:00,2,10,8818.34,71.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 15:00:00,8,66,16933.13,324.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 12:00:00,46,221,74004.08,1071.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 22:00:00,1,1,240.36,2.0
36834,AK Pharma - Belgaum,2022-05-18,2022-05-18 20:00:00,8,52,30366.23,311.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 16:00:00,8,29,7273.92,111.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 14:00:00,28,159,56600.37,755.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 20:00:00,4,21,5007.51,40.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 17:00:00,10,89,30197.67,479.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 10:00:00,2,26,8157.52,110.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 18:00:00,14,95,31311.76,584.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 11:00:00,28,147,38803.34,409.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 19:00:00,12,75,25875.36,323.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 12:00:00,52,261,85804.83,1072.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 15:00:00,11,63,21583.19,242.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 21:00:00,2,13,3435.85,45.0
36834,AK Pharma - Belgaum,2022-05-19,2022-05-19 13:00:00,31,182,44711.94,612.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 11:00:00,18,102,18437.73,278.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 13:00:00,30,191,46985.79,676.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 19:00:00,19,86,28041.0,397.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 21:00:00,1,5,1482.23,11.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 17:00:00,12,52,15646.74,215.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 15:00:00,7,80,28085.31,561.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 16:00:00,7,40,13100.84,160.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 12:00:00,33,158,53383.74,609.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 10:00:00,4,21,5215.76,59.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 20:00:00,11,46,9563.22,136.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 14:00:00,18,83,23188.36,308.0
36834,AK Pharma - Belgaum,2022-05-20,2022-05-20 18:00:00,16,83,15506.41,265.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 11:00:00,21,168,38522.68,566.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 13:00:00,46,242,73220.67,1012.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 19:00:00,26,132,39649.94,533.0
