unit_name,month,Present Head Count--Admin,Present Head Count--Audit & Refilling,Present Head Count--CHECKING,Present Head Count--Checking,Present Head Count--Data Analyst,Present Head Count--Data analyst,Present Head Count--Delivery,Present Head Count--Dispatch,Present Head Count--Expiry,Present Head Count--Finance & Accounts,Present Head Count--HR,Present Head Count--IT,Present Head Count--IT ,Present Head Count--Inward,Present Head Count--Overall Non - Ops,Present Head Count--Overall Operation,Present Head Count--PURCHASE,Present Head Count--Purchase,Present Head Count--SALES,Present Head Count--Sales,Present Head Count--Sales Return,Present Head Count--Store,Present Head Count--store
Bhopal,2022-07-01,,,,,,,,,,0.9354838709677419,,,,,,1.0,,,,9.935483870967742,,,
Bhopal,2022-08-01,,,,,,,,,,0.03225806451612903,,,,,,0.16129032258064516,,,,9.096774193548388,,,
Bhopal,2022-09-01,,,,,,,,,,0.9333333333333333,,,,,,,,,,7.466666666666667,,,
Bhopal,2022-10-01,,,,,,,,,,1.0,,,,,,0.8387096774193549,,,,5.0,,,
Bhopal,2022-11-01,,,,,,,,,,1.0,,,,,,1.0,,,,4.966666666666667,,,
Bhubaneswar,2022-04-01,2.0,3.7,,5.333333333333334,,,,2.033333333333333,,1.1,,,,4.366666666666667,,0.0,,,,19.066666666666666,0.9666666666666667,9.333333333333334,
Bhubaneswar,2022-05-01,2.064516129032258,3.064516129032258,,4.258064516129032,,,,2.161290322580645,,1.0,,,,5.129032258064516,,,,,,16.70967741935484,0.967741935483871,9.96774193548387,
Bhubaneswar,2022-06-01,1.9,3.1,,4.033333333333333,,,,2.0,,1.0,,,,4.0,,,,1.0,,13.466666666666665,0.9333333333333333,9.166666666666668,
Bhubaneswar,2022-07-01,2.129032258064516,4.225806451612903,,4.32258064516129,,,,2.129032258064516,,1.032258064516129,,,,4.354838709677419,,,,1.064516129032258,,14.758064516129032,1.467741935483871,9.32258064516129,
Bhubaneswar,2022-08-01,2.129032258064516,4.064516129032258,,4.354838709677419,,,,2.129032258064516,,1.0,,,,4.451612903225806,,,,1.064516129032258,,15.193548387096774,1.967741935483871,9.548387096774192,
Bhubaneswar,2022-09-01,1.0666666666666667,5.533333333333333,,4.266666666666667,,,,2.2,,2.2333333333333334,,,,4.4,,,,1.1,,14.600000000000001,2.1,6.566666666666666,
Bhubaneswar,2022-10-01,1.032258064516129,4.967741935483871,,4.32258064516129,,,,2.161290322580645,,2.129032258064516,,,,5.354838709677419,,,,,,13.580645161290322,2.161290322580645,6.451612903225806,
Bhubaneswar,2022-11-01,1.0,5.3,,4.0,,,,2.0,,2.0,,,,4.966666666666667,,,,,,14.1,2.0,5.8,
Bilaspur,2022-04-01,,,,,,,,0.9333333333333333,,1.0666666666666667,,,,,,,,,,6.033333333333333,,,
Bilaspur,2022-05-01,,,,,,,,0.967741935483871,,0.967741935483871,,,,,,,,,,7.129032258064516,,,
Bilaspur,2022-06-01,,,,,,,,0.9666666666666667,,0.9666666666666667,,,,,,,,,,4.633333333333333,,,
Bilaspur,2022-07-01,,,,,,,,0.967741935483871,,0.6774193548387096,,,,,,,,,,7.5,,,
Bilaspur,2022-08-01,,,,,,,,0.9032258064516129,,0.967741935483871,,,,,,,,,,9.338709677419354,,,
Bilaspur,2022-09-01,,,,,,,,0.9333333333333333,,1.0,,,,,,,,,,7.0,,,
Bilaspur,2022-10-01,,,,,,,,1.0,,1.0,,,,,,,,,,7.354838709677419,,,
Bilaspur,2022-11-01,,,,,,,,1.0,,1.0,,,,,,,,,,8.183333333333334,,,
Bokaro,2022-04-01,,,,,,,,,,,,,,,,,,,,1.5666666666666667,,,
Bokaro,2022-05-01,,,,,,,,,,,,,,,,0.6129032258064516,,,,5.032258064516129,,,
Bokaro,2022-06-01,,,,,,,,,,,,,,,,0.5666666666666667,,,,4.433333333333334,,,
Bokaro,2022-07-01,,,,,,,,,,,,,,,,1.064516129032258,,,,10.225806451612904,,,
Bokaro,2022-08-01,,,,,,,,,,,,,,,,1.032258064516129,,,,10.741935483870968,,,
Bokaro,2022-09-01,,,,,,,,,,1.0,,,,,,1.0,,,,9.433333333333334,,,
Bokaro,2022-10-01,,,,,,,,,,0.8709677419354839,,,,,,0.967741935483871,,,,10.032258064516128,,,
Bokaro,2022-11-01,,,,,,,,,,0.6666666666666666,,,,,,0.6666666666666666,,,,7.0,,,
Chandigarh,2022-04-01,0.9666666666666667,0.9333333333333333,,4.675,,,,2.1833333333333336,1.1166666666666667,2.783333333333333,,0.0,,4.341666666666667,,2.066666666666667,,0.9333333333333333,,17.933333333333334,,8.575000000000001,
Chandigarh,2022-05-01,1.0,1.064516129032258,,5.209677419354838,,,,1.8225806451612903,0.6774193548387096,2.741935483870968,,,,4.048387096774194,,2.096774193548387,,1.0,,18.20967741935484,,7.854838709677419,
Chandigarh,2022-06-01,1.0,0.7666666666666667,,5.15,,,,2.1,1.05,3.033333333333333,,,,2.95,,1.9,,0.9666666666666667,,19.28333333333333,,6.833333333333333,
Chandigarh,2022-07-01,1.0,,,7.661290322580646,,,,2.4193548387096775,1.0,3.1935483870967745,,,,2.774193548387097,,2.0161290322580645,,1.0,,18.048387096774192,,10.483870967741936,
Chandigarh,2022-08-01,1.0,,,6.564516129032258,,,,2.225806451612903,1.032258064516129,2.096774193548387,,,,2.774193548387097,,2.0806451612903225,,0.967741935483871,,18.967741935483872,,11.983870967741936,
Chandigarh,2022-09-01,1.0,,,7.016666666666667,,,,3.1333333333333333,1.0333333333333334,1.7666666666666666,,,,3.7666666666666666,,1.6,,1.0,,17.366666666666667,,10.2,
